-31	-40	-12	-20	-33	-31	-24	-29	-27	-30	-15	-15
-25	-35	-29	-37	-31	-22	-27	-28	-26	-10	5	-3
-21	-25	-11	-33	-17	-26	-25	-32	-29	-34	-21	-40
-32	-32	-21	-24	-29	-32	-27	-17	-12	-16	5	11
22	8	13	-13	-23	-24	-19	-9	-10	-10	-6	-29
-26	-19	-37	-31	-24	-26	-13	-18	-5	1	-3	-35
-2	-10	-27	-28	-28	-40	-19	-24	-19	-18	-9	-19
-46	-57	-34	-41	-38	-42	-32	-28	-23	-14	-14	-53
-28	-23	-9	-24	-24	-17	-14	-9	-10	-8	15	-7
-10	-20	-6	-20	-21	-5	2	0	-6	0	-10	-9
14	-17	-19	-8	-22	-29	-23	-23	-12	-9	-26	-22
-31	-30	-27	-23	-25	-31	-19	-22	-26	-23	-31	-45
-25	-3	-28	-26	-10	-13	-10	-9	-15	-10	0	-7
-37	12	-13	-34	-25	-22	-18	-16	-17	-7	-27	-20
-28	-39	-24	-19	-15	-18	-5	-11	-5	-2	-4	-1
-7	7	-16	-16	-6	-7	-3	4	15	10	11	-9
3	-2	6	5	-7	-17	-8	-3	4	13	3	-23
-12	-11	-19	-12	-7	-8	-5	-4	1	-3	7	41
-13	6	12	16	6	6	11	1	12	8	13	20
13	23	6	11	10	4	16	15	3	25	13	15
29	7	12	14	15	12	3	-2	0	8	14	14
1	23	3	15	11	1	15	4	12	31	27	29
42	32	35	27	26	21	23	23	31	28	14	8
15	5	11	25	11	3	8	26	22	22	10	-8
17	6	0	12	-2	-15	-7	-9	-2	-6	-1	-27
-8	-4	7	5	-6	-2	-3	-7	-14	7	0	-15
6	-12	-23	-9	6	-5	-13	-9	-13	-6	-9	-20
10	-16	-1	-7	-10	-25	-13	-9	-9	-3	-8	-15
-27	-27	-8	-21	-12	-8	-9	-18	-10	-18	-34	-19
-35	-43	-19	-11	-1	-7	-2	6	4	9	1	16
16	13	-9	2	-5	-4	6	8	8	-3	-16	-2
9	16	11	20	9	8	3	9	6	5	-5	4
-27	-10	-12	-18	-20	-15	-16	-12	-7	0	9	-16
12	-21	-35	-22	-20	-7	-7	7	-14	-5	-28	-32
-16	-25	-22	-27	-27	-15	-11	-26	-19	-24	-16	-10
-13	-6	-6	-2	7	14	0	14	8	0	6	16
37	23	9	2	7	-6	3	-6	-5	3	2	0
6	9	20	17	5	3	5	-1	-5	-9	-9	-2
-2	13	-36	-17	-9	0	-3	0	4	8	-12	18
7	19	10	15	14	11	-4	0	5	0	2	-15
7	15	11	5	-6	5	-2	-3	-2	-4	6	-1
-3	18	-15	-5	-10	3	9	23	20	14	16	0
-6	-11	-24	-30	-26	-9	-7	-22	-28	-30	-21	-30
-9	-17	-12	-20	-14	-10	-10	-1	-12	-4	-6	-6
-16	-1	4	-14	-9	3	8	-11	-2	-15	-2	-6
-7	-19	4	-6	12	-8	-1	3	-4	7	-6	-2
-22	-14	21	-5	-10	-5	-10	-11	-19	11	-5	-14
-11	-14	1	18	19	4	-2	3	10	9	12	27
10	23	8	9	-5	-1	-4	-10	11	4	1	-14
-3	-21	-19	-11	-7	-18	-13	-3	0	-6	-5	-8
-26	-17	3	-1	-1	4	2	18	4	7	1	18
27	31	25	26	26	16	9	2	6	12	5	-6
-14	-28	-5	-10	0	-5	-3	11	-14	-7	-7	-10
8	7	14	6	17	0	-2	-21	-2	-9	-16	-17
-1	-6	-21	-9	-23	-15	-10	-16	-9	-26	-6	8
17	21	24	26	30	25	23	20	2	5	20	5
8	12	21	14	7	-2	7	-19	6	1	18	11
15	-7	18	12	6	14	2	14	26	26	29	48
30	42	29	33	35	18	28	26	22	19	29	20
55	41	49	32	23	31	35	33	18	14	22	40
9	16	-2	9	15	4	13	9	16	14	14	43
53	41	42	30	36	19	15	31	38	16	31	17
31	18	29	10	34	6	15	15	19	15	4	-6
22	-5	17	10	18	17	2	15	15	13	10	16
30	38	29	26	26	14	13	12	2	14	11	16
36	46	17	26	26	36	47	28	40	33	26	48
57	42	49	44	44	42	35	44	41	38	11	33
16	35	36	33	17	15	33	35	37	33	19	36
40	41	76	54	46	38	43	30	29	42	45	41
42	50	35	51	39	54	51	42	48	31	31	33
45	42	47	23	32	24	13	10	-1	10	4	22
37	39	36	27	27	23	27	14	11	23	7	19
31	3	26	40	29	41	31	22	34	42	46	36
51	78	45	47	29	44	49	49	34	49	44	30
27	49	34	36	29	26	35	50	26	21	41	40
33	37	51	37	38	54	37	42	55	65	65	59
61	89	62	64	71	77	70	69	46	46	49	58
48	67	33	34	33	37	41	35	43	42	41	48
26	59	59	59	40	43	42	43	43	29	33	30
45	47	58	52	59	54	60	50	56	52	71	55
74	76	91	59	65	55	61	55	64	57	59	42
72	55	57	55	63	48	55	66	67	75	55	74
58	70	66	62	42	42	27	45	53	67	72	52
72	59	69	70	64	66	66	63	77	80	75	68
57	71	64	49	47	64	55	71	64	70	73	78
97	70	70	75	69	59	62	61	65	61	57	49
27	36	75	53	51	48	60	45	64	67	67	55
62	54	53	61	64	67	73	68	69	65	78	65
73	79	92	87	75	64	61	65	61	71	79	49
50	51	64	66	53	59	74	73	56	67	56	53
45	49	57	69	76	62	56	64	75	79	74	52
67	57	65	54	61	65	59	66	77	70	81	67
74	50	77	78	86	66	58	82	90	86	68	79
